intermediate_graph_degree,graph_degree,itopk_size,search_width,max_search_iterations,total_vectors,total_queries,build_time_seconds,best_batch_size,p99_latency_ms,queries_per_second,recall,used_filter,initial_gpu_memory_percent_used,post_build_gpu_memory_percent_used,memory_increase_build_gb,rating_filter
64,32,256,16,0,5000000,10000,27.03184962272644,10,0.000825991630554199,14879.350149752521,0.91804,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,256,32,0,5000000,10000,26.958606958389282,10,0.000800518989562988,14953.979918036912,0.92995,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,256,64,0,5000000,10000,26.975839853286743,10,0.0011747837066650377,11155.356645106984,0.93915,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,512,1,0,5000000,10000,27.06179141998291,10,0.0008538246154785158,14405.799060929605,0.93478,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,512,2,0,5000000,10000,26.970499277114868,10,0.000881195068359375,14542.686410589075,0.93418,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,512,4,0,5000000,10000,26.97803544998169,10,0.0008781909942626952,14516.620580621064,0.9345,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,512,8,0,5000000,10000,26.993622064590454,10,0.0008689379692077637,14566.723796153165,0.93422,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,512,16,0,5000000,10000,27.029325246810913,10,0.0008651113510131825,14505.727427847887,0.93416,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,512,32,0,5000000,10000,27.018014907836914,10,0.0008668899536132812,14454.399560238131,0.93447,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,32,512,64,0,5000000,10000,26.95519709587097,10,0.0011649489402770995,11297.676675521545,0.93895,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"3.0-4.0, 4.0-5.0, =5.0"
64,64,32,1,0,5000000,10000,28.52104902267456,10,0.000717949867248535,15920.462153755,0.85929,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,32,2,0,5000000,10000,28.5360050201416,10,0.0006979203224182157,16182.221714692787,0.86032,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,32,4,0,5000000,10000,28.544809818267822,10,0.0006978845596313475,16267.63162785915,0.86105,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,32,8,0,5000000,10000,28.582664012908936,10,0.0007336139678955078,15346.814446848895,0.90842,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,32,16,0,5000000,10000,28.5944721698761,10,0.000795879364013671,14693.549952537258,0.9318,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,32,32,0,5000000,10000,28.535001039505005,10,0.0008552074432373047,13950.756295895577,0.94204,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,32,64,0,5000000,10000,28.49387001991272,10,0.0013573861122131345,10322.320385992749,0.94499,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,64,1,0,5000000,10000,28.515873670578003,10,0.0007050037384033203,15735.315825257845,0.90028,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,64,2,0,5000000,10000,28.508594751358032,10,0.0007382631301879865,15399.447671205307,0.90099,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,64,4,0,5000000,10000,28.47494912147522,10,0.0007483315467834472,15363.98061642338,0.90086,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,64,8,0,5000000,10000,28.52113175392151,10,0.0007065868377685545,15570.267154301118,0.90799,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,64,16,0,5000000,10000,28.514617204666138,10,0.0007808208465576172,14714.11988141723,0.93263,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,64,32,0,5000000,10000,28.58983278274536,10,0.0008454084396362308,13864.07431223418,0.94213,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,64,64,0,5000000,10000,28.57232093811035,10,0.001359384059906005,10275.32493516458,0.94502,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,128,1,0,5000000,10000,28.578063488006592,10,0.0007720732688903812,14892.41994323619,0.92408,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
64,64,128,2,0,5000000,10000,28.537110805511475,10,0.0007565021514892578,15035.1977572782,0.92484,True,0.9334027958669793,4.914474255448467,3.9810714595814876,"3.0-4.0, 4.0-5.0, =5.0"
