intermediate_graph_degree,graph_degree,itopk_size,search_width,max_search_iterations,total_vectors,total_queries,build_time_seconds,best_batch_size,avg_query_latency_ms,queries_per_second,recall,used_filter,initial_gpu_memory_percent_used,post_build_gpu_memory_percent_used,memory_increase_build_gb,rating_filter
96,32,32,64,0,5000000,10000,28.90903639793396,10,0.0013061928749084476,11108.8212118433,0.91769,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,64,1,0,5000000,10000,28.85469627380371,10,0.0012506437301635738,11332.446112734384,0.91181,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,64,2,0,5000000,10000,28.8716139793396,10,0.001300523281097417,11297.36589087753,0.91215,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,64,4,0,5000000,10000,28.83248496055603,10,0.0012816047668457037,11307.90348861594,0.91109,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,64,8,0,5000000,10000,28.820897579193115,10,0.0012869834899902344,11283.115639175709,0.91305,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,64,16,0,5000000,10000,28.859471321105957,10,0.0012669563293457031,11231.788677197917,0.91175,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,64,32,0,5000000,10000,28.846269845962524,10,0.0012762284278869623,11243.744512374753,0.91214,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,64,64,0,5000000,10000,29.03895330429077,10,0.0012058258056640587,11463.000241864176,0.91718,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,128,1,0,5000000,10000,29.082611560821533,10,0.0016834831237792919,10729.77815358234,0.93515,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,128,2,0,5000000,10000,29.043248653411865,10,0.0016366291046142553,10739.052856103634,0.93658,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,128,4,0,5000000,10000,29.114575147628784,10,0.0015505170822143546,10767.736968717247,0.93625,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,128,8,0,5000000,10000,29.09507989883423,10,0.0016232967376708998,10684.734208306902,0.9357,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,128,16,0,5000000,10000,29.029030799865723,10,0.001474101543426485,10777.621472743589,0.93698,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,128,32,0,5000000,10000,29.06607675552368,10,0.0015552234649658207,10782.52300007281,0.93587,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,128,64,0,5000000,10000,29.079232454299927,10,0.0015098667144775309,10707.829340663086,0.93647,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,256,1,0,5000000,10000,29.1241238117218,10,0.0032595586776733255,10122.657379587374,0.95412,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,256,2,0,5000000,10000,29.082574367523193,10,0.002676057815551773,10145.02550142358,0.95464,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,256,4,0,5000000,10000,29.054444551467896,10,0.0026070833206176805,10092.578640960755,0.95348,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,256,8,0,5000000,10000,29.082645893096924,10,0.0027806138992309626,10078.208987394959,0.95441,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,256,16,0,5000000,10000,29.140060424804688,10,0.0029675698280334406,10121.531975067212,0.95492,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,256,32,0,5000000,10000,29.0315101146698,10,0.00257869720458985,10199.362499438217,0.95498,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,256,64,0,5000000,10000,29.006591320037842,10,0.003158082962036244,9914.720683761569,0.95413,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,512,1,0,5000000,10000,28.902283430099487,10,0.004155800342559811,9011.542973722822,0.96563,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,512,2,0,5000000,10000,28.837394952774048,10,0.003999416828155515,9111.232142894441,0.96554,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,512,4,0,5000000,10000,29.04526162147522,10,0.0039765858650207524,9205.797126626121,0.96535,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
96,32,512,8,0,5000000,10000,29.09212303161621,10,0.003986322879791263,9188.620112031358,0.96497,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
